row_id,side,role,term,gold_snomed_id,gold_concept_term,pred_snomed_id,pred_concept_term,hit,gt_rank,gold_absence_stage,gold_in_initial_results,gold_in_allowed_domain,gold_in_truncated_set,gold_in_final_ranked,gold_filter_reasons,num_ranked_to_gt,rank_chain_to_gt,top10_chain
t0_row_03,condition,ClinicalParameter,Left ventricular ejection fraction,250908004,Left ventricular ejection fraction (observable entity),250908004,Left ventricular ejection fraction (observable entity),1,1,,,,,,,1,1:250908004:Left ventricular ejection fraction (observable entity):1.0,1:250908004:Left ventricular ejection fraction (observable entity):1.0 | 2:389385008:Left ventricular ejection fraction (observable entity):1.0 | 3:390116000:Left ventricular ejection fraction (finding):1.0 | 4:863932003:Left ventricular ejection fraction decreased (finding):1.0 | 5:5041000175101:Estimated lower limit of left ventricular ejection fraction (observable entity):1.0 | 6:5051000175104:Estimated upper limit of left ventricular ejection fraction (observable entity):1.0 | 7:46258004:Determination of ventricular ejection fraction with probe technique (procedure):0.8405763398575983 | 8:27649004:Left ventricular ST changes (finding):0.5043573748026335 | 9:43101003:Structure of left ventricular fold of larynx (body structure):0.4943573748026336 | 10:25488008:Left ventricular hypertrophy by electrocardiogram (finding):0.4943573748026336
t0_row_03,condition,ClinicalCondition,Atherosclerosis of proximal portion of anterior descending branch of left coronary artery,1366501001,Atherosclerosis of proximal portion of anterior descending branch of left coronary artery (disorder),1366501001,Atherosclerosis of proximal portion of anterior descending branch of left coronary artery (disorder),1,1,,,,,,,1,1:1366501001:Atherosclerosis of proximal portion of anterior descending branch of left coronary artery (disorder):1.0,1:1366501001:Atherosclerosis of proximal portion of anterior descending branch of left coronary artery (disorder):1.0 | 2:1366503003:Atherosclerosis of mid portion of anterior descending branch of left coronary artery (disorder):1.0 | 3:1366498001:Atherosclerosis of anterior descending branch of left coronary artery (disorder):1.0 | 4:1366499009:Atherosclerosis of proximal portion of circumflex branch of left coronary artery (disorder):1.0 | 5:1366504009:Atherosclerosis of proximal portion of right coronary artery (disorder):1.0 | 6:1366502008:Atherosclerosis of mid portion of circumflex branch of left coronary artery (disorder):1.0 | 7:52433000:Structure of proximal portion of circumflex branch of left coronary artery (body structure):1.0 | 8:1366500000:Atherosclerosis of left coronary artery (disorder):1.0 | 9:443502000:Atherosclerosis of coronary artery (disorder):0.9987617582667109 | 10:1303693000:Atherosclerosis of right coronary artery (disorder):0.9789265382874247
t0_row_03,condition,ClinicalCondition,Single coronary vessel disease,194842008,Single coronary vessel disease (disorder),194842008,Single coronary vessel disease (disorder),1,1,,,,,,,1,1:194842008:Single coronary vessel disease (disorder):1.0,"1:194842008:Single coronary vessel disease (disorder):1.0 | 2:34147004:Anastomosis of internal mammary artery to coronary artery, single vessel (procedure):1.0 | 3:48431000:Anastomosis of thoracic artery to coronary artery, single (procedure):1.0 | 4:68466008:Removal of coronary artery obstruction by percutaneous transluminal balloon, single vessel (procedure):1.0 | 5:24080003:Single vessel percutaneous transluminal coronary angioplasty with thrombolytic agent infusion (procedure):1.0 | 6:91338001:Infusion of intra-arterial thrombolytic agent with percutaneous transluminal coronary angioplasty, single vessel (procedure):1.0 | 7:40193008:Single vessel of umbilical cord (disorder):1.0 | 8:21981000:Single coronary artery (disorder):0.6985875706214689 | 9:50570003:Aneurysm of coronary vessels (disorder):0.6385875706214689 | 10:41056009:Coronary arteriography using a single catheter (procedure):0.5835875706214689"
t0_row_03,condition,ClinicalCondition,Double coronary vessel disease,194843003,Double coronary vessel disease (disorder),194843003,Double coronary vessel disease (disorder),1,1,,,,,,,1,1:194843003:Double coronary vessel disease (disorder):1.0,"1:194843003:Double coronary vessel disease (disorder):1.0 | 2:39724006:Anastomosis of internal mammary artery to coronary artery, double vessel (procedure):1.0 | 3:30670000:Anastomosis of thoracic artery to coronary artery, double (procedure):1.0 | 4:50570003:Aneurysm of coronary vessels (disorder):0.6385875706214689 | 5:34147004:Anastomosis of internal mammary artery to coronary artery, single vessel (procedure):0.5805875706214689 | 6:10190003:Aortocoronary bypass of four or more coronary arteries (procedure):0.5805875706214689 | 7:29819009:Aortocoronary bypass of one coronary artery (procedure):0.5805875706214689 | 8:23322009:Removal of coronary artery obstruction, percutaneous transluminal, multiple vessels (procedure):0.5785875706214689 | 9:14323007:Aortocoronary bypass of three coronary arteries (procedure):0.5785875706214689 | 10:48431000:Anastomosis of thoracic artery to coronary artery, single (procedure):0.5785875706214689"
t0_row_03,action,Procedure,Myocardial revascularization,275227003,Myocardial revascularization (procedure),275227003,Myocardial revascularization (procedure),1,1,,,,,,,1,1:275227003:Myocardial revascularization (procedure):1.0,1:275227003:Myocardial revascularization (procedure):1.0 | 2:70627009:Myocardial resection (procedure):0.9486013042282414 | 3:1371343005:Administration of prophylactic drug or medicament for myocardial infarction (procedure):0.9358052831243824 | 4:64432007:Radioisotope myocardial imaging procedure (procedure):0.9318918918918919 | 5:429232006:Decreased myocardial ischemia compared to prior study (finding):0.915551739866669 | 6:39441009:Endomyocardial biopsy (procedure):0.9018918918918919 | 7:428824000:Resolution of myocardial ischemia (situation):0.8962205874275517 | 8:57809008:Myocardial disease (disorder):0.8918918918918919 | 9:86441007:Cardiac myocyte (cell):0.8918918918918919 | 10:122448007:Structure of cardiac muscle tissue (body structure):0.8918918918918919
t0_row_03,action,Procedure,Medical therapy,243121000,Medical therapy (procedure),243121000,Medical therapy (procedure),1,1,,,,,,,1,1:243121000:Medical therapy (procedure):1.0,"1:243121000:Medical therapy (procedure):1.0 | 2:37670002:Teacher in medical therapy/advanced nursing/related arts (occupation):1.0 | 3:403755007:Adverse cutaneous reaction to alternative medical therapy (navigational concept):1.0 | 4:425914008:Adjustment reaction to medical therapy (disorder):1.0 | 5:26342005:Medical evaluation for speech, language and/or hearing problems (regime/therapy):1.0 | 6:28868002:Interactive group medical psychotherapy (regime/therapy):1.0 | 7:8411005:Interactive individual medical psychotherapy (regime/therapy):1.0 | 8:27853000:Medical procedure on anus (procedure):0.5900000000000001 | 9:30198001:Medical procedure on lung (procedure):0.5900000000000001 | 10:38318006:Medical procedure on heart (procedure):0.5900000000000001"
t0_row_04,condition,Procedure,Percutaneous coronary revascularization,415070008,Percutaneous transluminal coronary intervention using imaging guidance with contrast (procedure),415070008,Percutaneous transluminal coronary intervention using imaging guidance with contrast (procedure),1,1,rescue_override,,,,,,1,1:415070008:Percutaneous transluminal coronary intervention using imaging guidance with contrast (procedure):1.0,1:415070008:Percutaneous transluminal coronary intervention using imaging guidance with contrast (procedure):1.0
t0_row_04,condition,ClinicalCondition,Lesion,52988006,Lesion (morphologic abnormality),52988006,Lesion (morphologic abnormality),1,1,,,,,,,1,1:52988006:Lesion (morphologic abnormality):1.0,1:52988006:Lesion (morphologic abnormality):1.0 | 2:10683007:Destruction of lesion of heart (procedure):1.0 | 3:13713005:Thromboembolus (morphologic abnormality):1.0 | 4:14459002:Excision of lesion of vein of head and neck (procedure):1.0 | 5:15395004:Destruction of lesion of cul-de-sac (procedure):1.0 | 6:189009:Excision of lesion of artery (procedure):1.0 | 7:2199005:Excision of lesion of cul-de-sac (procedure):1.0 | 8:2427005:Nonallopathic lesion of rib cage (finding):1.0 | 9:7870007:Vascular lesion of cord (disorder):1.0 | 10:5553009:Excision of lesion of bile ducts (procedure):1.0
t0_row_04,condition,ClinicalCondition,Stenosis of left coronary artery main stem,876857001,Stenosis of left coronary artery main stem (disorder),876857001,Stenosis of left coronary artery main stem (disorder),1,1,rescue_override,,,,,,1,1:876857001:Stenosis of left coronary artery main stem (disorder):1.0,1:876857001:Stenosis of left coronary artery main stem (disorder):1.0
t0_row_04,action,Procedure,Intravascular ultrasound of artery,241467003,Intravascular ultrasound of artery (procedure),241467003,Intravascular ultrasound of artery (procedure),1,1,,,,,,,1,1:241467003:Intravascular ultrasound of artery (procedure):1.0,1:241467003:Intravascular ultrasound of artery (procedure):1.0 | 2:310658009:Intravascular ultrasound of coronary artery (procedure):1.0 | 3:175077007:Intravascular ultrasound of coronary artery (procedure):1.0 | 4:241468008:Intravascular ultrasound of intracranial artery (procedure):1.0 | 5:230928006:Diagnostic intravascular ultrasound of intracranial artery (procedure):1.0 | 6:431747006:Intravascular ultrasound Doppler imaging of coronary artery using fluoroscopic guidance with contrast (procedure):1.0 | 7:230927001:Intracranial intravascular ultrasound (procedure):1.0 | 8:241466007:Intravascular ultrasound angiography of blood vessel (procedure):1.0 | 9:241469000:Intravascular ultrasound of arterial graft (procedure):1.0 | 10:432093004:Intravascular ultrasound thrombolysis using fluoroscopic guidance with contrast (procedure):1.0
t0_row_04,action,Procedure,Optical coherence tomography,392010000,Optical coherence tomography (procedure),392010000,Optical coherence tomography (procedure),1,1,,,,,,,1,1:392010000:Optical coherence tomography (procedure):1.0,1:392010000:Optical coherence tomography (procedure):1.0 | 2:698254001:Intravascular optical coherence tomography of coronary vessel (procedure):1.0 | 3:1303745001:Optical coherence tomography of anterior segment of eye (procedure):1.0 | 4:1303746000:Optical coherence tomography of posterior segment of eye (procedure):1.0 | 5:1334009001:Optical coherence tomography of left coronary artery using fluoroscopic guidance with contrast (procedure):1.0 | 6:912321000000101:Optical coherence tomography of coronary artery using fluoroscopic guidance with contrast (procedure):1.0 | 7:1334010006:Optical coherence tomography of right coronary artery using fluoroscopic guidance with contrast (procedure):1.0 | 8:1334011005:Optical coherence tomography of bilateral coronary arteries using fluoroscopic guidance with contrast (procedure):1.0 | 9:426241002:Optical coherence tomography of eye region (procedure):1.0 | 10:467489003:Coronary optical coherence tomography system (physical object):1.0
t0_row_05,condition,Procedure,Myocardial revascularization,275227003,Myocardial revascularization (procedure),275227003,Myocardial revascularization (procedure),1,1,,,,,,,1,1:275227003:Myocardial revascularization (procedure):1.0,1:275227003:Myocardial revascularization (procedure):1.0 | 2:1371149001:Subsequent myocardial infarction following percutaneous coronary intervention (disorder):0.9549241159509967 | 3:70627009:Myocardial resection (procedure):0.9486013042282414 | 4:64432007:Radioisotope myocardial imaging procedure (procedure):0.9318918918918919 | 5:39441009:Endomyocardial biopsy (procedure):0.9018918918918919 | 6:57809008:Myocardial disease (disorder):0.8918918918918919 | 7:86441007:Cardiac myocyte (cell):0.8918918918918919 | 8:122448007:Structure of cardiac muscle tissue (body structure):0.8918918918918919 | 9:142021007:ECG: myocardial ischaemia (finding):0.8918918918918919 | 10:142022000:ECG: no myocardial ischaemia (finding):0.8918918918918919
t0_row_05,condition,ClinicalCondition,Chronic ischemic heart disease,413838009,Chronic ischemic heart disease (disorder),413838009,Chronic ischemic heart disease (disorder),1,2,,,,,,,2,1:84537008:Chronic ischemic heart disease (disorder):1.0 | 2:413838009:Chronic ischemic heart disease (disorder):1.0,1:84537008:Chronic ischemic heart disease (disorder):1.0 | 2:413838009:Chronic ischemic heart disease (disorder):1.0 | 3:266290000:Heart disease: [arteriosclerotic] or [chronic ischaemic NOS] (disorder):1.0 | 4:155315001:Heart disease: [arteriosclerotic] or [chronic ischaemic NOS] (disorder):1.0 | 5:155318004:Chronic ischaemic heart disease NOS (disorder):1.0 | 6:266291001:Chronic ischemic heart disease NOS (disorder):1.0 | 7:194840000:Other chronic ischemic heart disease (disorder):1.0 | 8:194854008:Other chronic ischemic heart disease NOS (disorder):1.0 | 9:195544005:[X]Other forms of chronic ischemic heart disease (disorder):1.0 | 10:194851000:Other specified chronic ischemic heart disease (disorder):1.0
t0_row_05,action,Procedure,Intracoronary pressure guide wire,371789009,Intracoronary pressure guide wire (physical object),371789009,Intracoronary pressure guide wire (physical object),1,1,,,,,,,1,1:371789009:Intracoronary pressure guide wire (physical object):1.0,"1:371789009:Intracoronary pressure guide wire (physical object):1.0 | 2:371788001:Intracoronary Doppler guide wire (physical object):0.8953144633194495 | 3:129462001:Catheter guide wire, device (physical object):0.48620689655172417 | 4:53178003:Esophagoscopy for insertion of wire to guide dilation (procedure):0.48120689655172416 | 5:372463005:Intracoronary route (qualifier value):0.29154649947753397 | 6:13543005:Pressure (finding):0.23344827586206904 | 7:261538006:Open intracoronary repair of coronary artery fistula (procedure):0.21034482758620693 | 8:61953007:Injection of thrombolytic agent direct into coronary artery (procedure):0.21034482758620693 | 9:384693001:Intracoronary artery thrombolytic infusion (procedure):0.21034482758620693 | 10:41633001:Intraocular pressure (observable entity):0.2057360659292996"
t0_row_05,action,Procedure,Angiography of coronary artery,33367005,Angiography of coronary artery (procedure),33367005,Angiography of coronary artery (procedure),1,1,,,,,,,1,1:33367005:Angiography of coronary artery (procedure):1.0,1:33367005:Angiography of coronary artery (procedure):1.0 | 2:419997008:Magnetic resonance angiography of coronary artery (procedure):1.0 | 3:419416005:Fluoroscopic angiography of coronary artery with contrast (procedure):1.0 | 4:419545005:Computed tomography angiography of coronary artery with contrast (procedure):1.0 | 5:418982001:Fluoroscopic angiography of coronary artery with contrast and insertion of stent (procedure):1.0 | 6:764970007:Retrospectively electrocardiogram gated computed tomography angiography of coronary artery with contrast (procedure):1.0 | 7:765113006:Prospectively electrocardiogram gated computed tomography angiography of coronary artery with contrast (procedure):1.0 | 8:440074009:Nonsurgical reduction of cardiac septum for hypertrophic obstructive cardiomyopathy with angiography of coronary artery (procedure):1.0 | 9:1354587000:Percutaneous transluminal radiofrequency ablation of hypertrophy of myocardium of septal region of left ventricle with angiography of coronary artery (procedure):1.0 | 10:1354586009:Percutaneous transluminal ablation of hypertrophy of myocardium of septal region of left ventricle using alcohol with angiography of coronary artery (procedure):1.0
t0_row_06,condition,Procedure,Myocardial revascularization,275227003,Myocardial revascularization (procedure),275227003,Myocardial revascularization (procedure),1,1,,,,,,,1,1:275227003:Myocardial revascularization (procedure):1.0,1:275227003:Myocardial revascularization (procedure):1.0 | 2:70627009:Myocardial resection (procedure):0.9486013042282414 | 3:64432007:Radioisotope myocardial imaging procedure (procedure):0.9318918918918919 | 4:39441009:Endomyocardial biopsy (procedure):0.9018918918918919 | 5:57809008:Myocardial disease (disorder):0.8918918918918919 | 6:86441007:Cardiac myocyte (cell):0.8918918918918919 | 7:122448007:Structure of cardiac muscle tissue (body structure):0.8918918918918919 | 8:142021007:ECG: myocardial ischaemia (finding):0.8918918918918919 | 9:142022000:ECG: no myocardial ischaemia (finding):0.8918918918918919 | 10:142023005:ECG:shows myocardial ischaemia (finding):0.8918918918918919
t0_row_06,condition,ClinicalCondition,Chronic ischemic heart disease,413838009,Chronic ischemic heart disease (disorder),413838009,Chronic ischemic heart disease (disorder),1,2,,,,,,,2,1:84537008:Chronic ischemic heart disease (disorder):1.0 | 2:413838009:Chronic ischemic heart disease (disorder):1.0,1:84537008:Chronic ischemic heart disease (disorder):1.0 | 2:413838009:Chronic ischemic heart disease (disorder):1.0 | 3:266290000:Heart disease: [arteriosclerotic] or [chronic ischaemic NOS] (disorder):1.0 | 4:155315001:Heart disease: [arteriosclerotic] or [chronic ischaemic NOS] (disorder):1.0 | 5:155318004:Chronic ischaemic heart disease NOS (disorder):1.0 | 6:266291001:Chronic ischemic heart disease NOS (disorder):1.0 | 7:194840000:Other chronic ischemic heart disease (disorder):1.0 | 8:194854008:Other chronic ischemic heart disease NOS (disorder):1.0 | 9:195544005:[X]Other forms of chronic ischemic heart disease (disorder):1.0 | 10:194851000:Other specified chronic ischemic heart disease (disorder):1.0
t0_row_06,action,Procedure,Intracoronary pressure guide wire,371789009,Intracoronary pressure guide wire (physical object),371789009,Intracoronary pressure guide wire (physical object),1,1,,,,,,,1,1:371789009:Intracoronary pressure guide wire (physical object):1.0,"1:371789009:Intracoronary pressure guide wire (physical object):1.0 | 2:371788001:Intracoronary Doppler guide wire (physical object):0.8953144633194495 | 3:129462001:Catheter guide wire, device (physical object):0.48620689655172417 | 4:53178003:Esophagoscopy for insertion of wire to guide dilation (procedure):0.48120689655172416 | 5:372463005:Intracoronary route (qualifier value):0.29154649947753397 | 6:13543005:Pressure (finding):0.23344827586206904 | 7:261538006:Open intracoronary repair of coronary artery fistula (procedure):0.21034482758620693 | 8:61953007:Injection of thrombolytic agent direct into coronary artery (procedure):0.21034482758620693 | 9:384693001:Intracoronary artery thrombolytic infusion (procedure):0.21034482758620693 | 10:41633001:Intraocular pressure (observable entity):0.2057360659292996"
t0_row_06,action,Procedure,Angiography of coronary artery,33367005,Angiography of coronary artery (procedure),33367005,Angiography of coronary artery (procedure),1,1,,,,,,,1,1:33367005:Angiography of coronary artery (procedure):1.0,1:33367005:Angiography of coronary artery (procedure):1.0 | 2:419997008:Magnetic resonance angiography of coronary artery (procedure):1.0 | 3:419416005:Fluoroscopic angiography of coronary artery with contrast (procedure):1.0 | 4:419545005:Computed tomography angiography of coronary artery with contrast (procedure):1.0 | 5:418982001:Fluoroscopic angiography of coronary artery with contrast and insertion of stent (procedure):1.0 | 6:764970007:Retrospectively electrocardiogram gated computed tomography angiography of coronary artery with contrast (procedure):1.0 | 7:765113006:Prospectively electrocardiogram gated computed tomography angiography of coronary artery with contrast (procedure):1.0 | 8:440074009:Nonsurgical reduction of cardiac septum for hypertrophic obstructive cardiomyopathy with angiography of coronary artery (procedure):1.0 | 9:1354587000:Percutaneous transluminal radiofrequency ablation of hypertrophy of myocardium of septal region of left ventricle with angiography of coronary artery (procedure):1.0 | 10:1354586009:Percutaneous transluminal ablation of hypertrophy of myocardium of septal region of left ventricle using alcohol with angiography of coronary artery (procedure):1.0
t1_row_01,condition,Procedure,Myocardial revascularization,275227003,Myocardial revascularization (procedure),275227003,Myocardial revascularization (procedure),1,1,,,,,,,1,1:275227003:Myocardial revascularization (procedure):1.0,1:275227003:Myocardial revascularization (procedure):1.0 | 2:70627009:Myocardial resection (procedure):0.9486013042282414 | 3:64432007:Radioisotope myocardial imaging procedure (procedure):0.9318918918918919 | 4:39441009:Endomyocardial biopsy (procedure):0.9018918918918919 | 5:57809008:Myocardial disease (disorder):0.8918918918918919 | 6:86441007:Cardiac myocyte (cell):0.8918918918918919 | 7:122448007:Structure of cardiac muscle tissue (body structure):0.8918918918918919 | 8:142021007:ECG: myocardial ischaemia (finding):0.8918918918918919 | 9:142022000:ECG: no myocardial ischaemia (finding):0.8918918918918919 | 10:142023005:ECG:shows myocardial ischaemia (finding):0.8918918918918919
t1_row_01,condition,ClinicalCondition,Chronic ischemic heart disease,413838009,Chronic ischemic heart disease (disorder),413838009,Chronic ischemic heart disease (disorder),1,2,,,,,,,2,1:84537008:Chronic ischemic heart disease (disorder):1.0 | 2:413838009:Chronic ischemic heart disease (disorder):1.0,1:84537008:Chronic ischemic heart disease (disorder):1.0 | 2:413838009:Chronic ischemic heart disease (disorder):1.0 | 3:266290000:Heart disease: [arteriosclerotic] or [chronic ischaemic NOS] (disorder):1.0 | 4:155315001:Heart disease: [arteriosclerotic] or [chronic ischaemic NOS] (disorder):1.0 | 5:155318004:Chronic ischaemic heart disease NOS (disorder):1.0 | 6:266291001:Chronic ischemic heart disease NOS (disorder):1.0 | 7:194840000:Other chronic ischemic heart disease (disorder):1.0 | 8:194854008:Other chronic ischemic heart disease NOS (disorder):1.0 | 9:195544005:[X]Other forms of chronic ischemic heart disease (disorder):1.0 | 10:194851000:Other specified chronic ischemic heart disease (disorder):1.0
